input,output
Candlelight on the table,The flickering light of a candle casting shadows on the walls
Candlelight on the table,The flickering light of the candle casting shadows on the walls
Candlelight on the table,The flickering light of the candles casting dancing shadows on the walls
Candlelight on the table,The flickering light of the candles casting shadows on the walls
Candlelight on the table,The flickering of candlelight on the tablecloth
Candlelight on the table,The flickering of the candlelight on the tablecloth
Candlelight on the table,The sight of the candlelight reflected in the wine glasses
Candlelight on the table,The sight of the candlelight reflecting off of the wine glasses
Candlelight on the table,The sight of the wax dripping down the sides of the candles
Candlelight on the table,The smell of melted wax
Candlelight on the table,The smell of vanilla and beeswax
Candlelight on the table,The soft glow of candlelight illuminating a cozy living room
Candlelight on the table,The sound of someone's voice being muffled by the candlelight
Candlelight on the table,The sound of the candle wicks gently crackling
Candlelight on the table,The sound of the candles crackling as they burn
Candlelight on the table,The sound of the candles dripping wax onto the table
Candlelight on the table,The sound of the candlewicks gently crackling
Candlelight on the table,The sound of the wax dripping down the side of the candle
Candlelight on the table,The sound of the wax dripping onto the table
Candlelight on the table,The taste of wine and cheese
Candlelight on the table,The warm glow of the candles illuminating the tablecloth
Candlelight on the table,The warm glow of the candles reflecting in the wine glasses
Candlelight on the table,The warmth of the candle on your skin
Candlelight on the table,The warmth of the candlelight on your skin
Candlelight on the table,The warmth of the candles on your skin
Canoe splashing,The feel of the sun on your back and the wind in your hair
Canoe splashing,The feeling of the sun on your face
Canoe splashing,The feeling of the sun on your face and the cool breeze on your back
Canoe splashing,The feeling of the sun on your face and the wind in your hair
Canoe splashing,The feeling of the sun on your skin
Canoe splashing,The feeling of the sun on your skin and the wind in your hair
Canoe splashing,The feeling of the wind in your hair
Canoe splashing,The gentle rocking of the canoe
Canoe splashing,The sight of lily pads and dragonflies floating by
Canoe splashing,The sight of lily pads and dragonflies skimming across the surface of the water
Canoe splashing,The sight of sunlight sparkling on the water
Canoe splashing,The sight of the trees and the mountains passing by
Canoe splashing,The sight of the water rippling around the canoe
Canoe splashing,The smell of pine trees
Canoe splashing,The smell of sunscreen and sweat
Canoe splashing,The smell of the fresh air and the water
Canoe splashing,The smell of the sun-warmed water
Canoe splashing,The smell of wet wood and fresh air
Canoe splashing,The smell of wet wood and pine needles
Canoe splashing,The sound of birds chirping
Canoe splashing,The sound of birds chirping in the distance
Canoe splashing,The sound of water droplets hitting the side of the canoe
Canoe splashing,The sound of water droplets hitting the sides of the canoe
Canoe splashing,The sound of water droplets plopping into the lake
Canoe splashing,The sound of water droplets splashing against the sides of the canoe
Canoe splashing,The sound of water droplets spraying up onto your face as you paddle
Canoe splashing,The sound of water splashing against the sides of the canoe
Canoe splashing,The taste of a fresh-water scone
Canoe splashing,The taste of a freshly-caught fish
Canoe splashing,The taste of fresh air
Canoe splashing,The taste of fresh water
Canoe splashing,The taste of s'mores and the sound of laughter from your friends
Canoe splashing,The taste of the cool water on your lips
Canoeing trip,"The taste of a cold, refreshing drink after a long day on the water"
Canoeing trip,A cool breeze blowing through your hair
Canoeing trip,A gentle breeze blowing through your hair
Canoeing trip,A rainbow forming in the distance
Canoeing trip,A view of the mountains from the middle of the lake
Canoeing trip,The feel of the sun on your skin
Canoeing trip,The feeling of the sun on your skin
Canoeing trip,The feeling of the sun on your skin and the wind in your hair
Canoeing trip,The sight of a bald eagle soaring overhead
Canoeing trip,The sight of a deer drinking from the river
Canoeing trip,The sight of the sun glinting off the water
Canoeing trip,The sight of trees lining the banks of the river
Canoeing trip,The smell of sunscreen and bug spray
Canoeing trip,The smell of sunscreen and sweat
Canoeing trip,The sound of birds chirping in the trees
Canoeing trip,The sound of lapping waves against the sides of the canoe
Canoeing trip,The sound of the paddles dipping in and out of the water
Canoeing trip,The sound of the paddles dipping into the water
Canoeing trip,The sound of the water lapping against the sides of the canoe
Canoeing trip,The sound of water lapping against the sides of the canoe
Canoeing trip,The sun glinting off the water
Canoeing trip,The taste of a cold drink after a long day on the water
Car headlights in fog,"A thick, white fog that obscures your vision"
Car headlights in fog,The feeling of the car swaying slightly as it drives through the fog
Car headlights in fog,The feeling of the cold air blowing through the open windows
Car headlights in fog,The feeling of the wind whipping against your face
Car headlights in fog,The feeling of your heart beating faster as you drive more slowly and cautiously
Car headlights in fog,The feeling of your heart beating faster as you realize that you're lost
Car headlights in fog,The feeling of your heart pounding in your chest
Car headlights in fog,The feeling of your heart pounding in your chest as you drive slowly through the fog
Car headlights in fog,The feeling of your skin tingling from the cold and damp air
Car headlights in fog,The fog swirling around the headlights like ghosts
Car headlights in fog,The headlights illuminating the fog in a way that makes it look like a milky liquid
Car headlights in fog,The headlights illuminating the fog in a way that makes it look like you're driving through a cloud
Car headlights in fog,The headlights illuminating the fog in front of you
Car headlights in fog,The sight of your headlights illuminating the fog
Car headlights in fog,The sight of your own headlights reflected back at you from the fog
Car headlights in fog,The smell of salt and seaweed
Car headlights in fog,The smell of wet asphalt
Car headlights in fog,The smell of wet pavement
Car headlights in fog,The smell of wet pavement and exhaust fumes
Car headlights in fog,The sound of a distant siren fading into the fog
Car headlights in fog,The sound of the foghorn blaring in the distance
Car headlights in fog,The sound of the tires crunching on the gravel on the side of the road
Car headlights in fog,The sound of the wipers swishing back and forth
Car headlights in fog,The sound of tires crunching on wet pavement
Car headlights in fog,The sound of tires skidding on wet pavement
Car headlights in fog,The sound of waves crashing against the shore
Car headlights in fog,The sound of your car tires crunching on wet gravel
Car headlights in fog,The sound of your car's engine rumbling
Car headlights in fog,The sound of your car's tires crunching on wet leaves
Car headlights in fog,The sound of your tires crunching on the gravel on the side of the road
Car headlights in fog,The sound of your wipers scraping against the windshield
Car headlights in fog,The taste of stale air in the car
Car headlights in fog,The taste of the stale air inside the car
Car headlights in fog,The white light of the headlights cutting through the fog like a knife
Carnival game prizes,"A plastic bracelet that says ""I Heart NY"""
Carnival game prizes,"A plastic trophy that says ""Best at Throwing Balls"""
Carnival game prizes,"A plastic trophy with the words ""WINNER!"" emblazoned on it"
Carnival game prizes,"A t-shirt that says ""I Heart Carnivals!"""
Carnival game prizes,A bag of cotton candy that is so sticky that it gets all over your hands and clothes
Carnival game prizes,A cheap pair of sunglasses that are already scratched up
Carnival game prizes,A cheap plastic toy that breaks after a few minutes of use
Carnival game prizes,A cheap plastic toy that makes a high-pitched beeping noise when you squeeze it
Carnival game prizes,A cheap plastic toy that makes a high-pitched squealing noise when you squeeze it
Carnival game prizes,A giant foam finger
Carnival game prizes,A giant foam finger that is sticky and covered in dust
Carnival game prizes,A giant lollipop that is covered in sticky residue
Carnival game prizes,A giant lollipop that is so sweet that it makes your teeth hurt
Carnival game prizes,A giant stuffed Minion that takes up the entire backseat of your car
Carnival game prizes,A giant stuffed animal that is so big that it can barely fit through the door of your car
Carnival game prizes,A giant stuffed animal that smells like mothballs
Carnival game prizes,A giant stuffed bear that is so heavy that it is difficult to carry
Carnival game prizes,A plastic squirt gun that leaks water
Carnival game prizes,A plastic toy that makes a high-pitched squeal when you squeeze it
Carnival game prizes,A plastic trophy that has the name of the carnival scrawled on it in Sharpie
Carnival game prizes,A plastic whistle that makes an ear-piercing sound
Carnival game prizes,A plastic whistle that whistles even when it's not being blown into
Carnival game prizes,A stuffed animal that has a weird smell that you can't quite identify
Carnival game prizes,A stuffed animal that is covered in dust and smells like smoke
Carnival game prizes,A stuffed animal that is covered in fuzz and smells vaguely like mothballs
Carnival game prizes,A stuffed animal that smells like cotton candy
Carnival game prizes,A stuffed animal with a missing eye
Carnival game prizes,A t-shirt that is covered in glitter
Carnival game prizes,A t-shirt with a corny slogan on it
Carnival game prizes,A tiny plush unicorn with a broken horn
Carnival game prizes,A toy car that has a broken wheel
Carnival game prizes,The smell of cotton candy and fried dough
Carnival game prizes,The smell of cotton candy and popcorn
Carnival game prizes,The sound of children shrieking with excitement
Carnival game prizes,The sound of children squealing with delight as they win a prize
Carnival lights,"The feel of the warm, sticky air on your skin"
Carnival lights,"The sight of children running around excitedly, laughing and screaming"
Carnival lights,A Ferris wheel looming over the midway
Carnival lights,A cacophony of flashing lights in every color of the rainbow
Carnival lights,A rainbow of lights that make your eyes hurt
Carnival lights,The feel of the wind in your hair as you ride a carousel
Carnival lights,The feeling of being overwhelmed by the bright lights and loud noises
Carnival lights,The feeling of being sticky and sweaty
Carnival lights,The feeling of being surrounded by flashing lights and loud noises
Carnival lights,The feeling of excitement and anticipation
Carnival lights,The feeling of excitement as you walk through the carnival gates
Carnival lights,The feeling of the wind in your hair as you ride a roller coaster
Carnival lights,The flashing lights of a Ferris wheel against the night sky
Carnival lights,The sight of a Ferris wheel lit up against the night sky
Carnival lights,The sight of bright lights illuminating the night sky
Carnival lights,The sight of brightly colored lights flashing in the night sky
Carnival lights,The sight of flashing lights and bright colors
Carnival lights,The smell of cotton candy and funnel cakes
Carnival lights,The smell of cotton candy and funnel cakes in the air
Carnival lights,The smell of cotton candy and funnel cakes wafting through the air
Carnival lights,The smell of cotton candy and hot dogs
Carnival lights,The smell of cotton candy and popcorn
Carnival lights,The sound of a carnival barker trying to entice people to play his game
Carnival lights,The sound of a carnival barker trying to entice people to play their games
Carnival lights,The sound of a carnival barker's voice over a loudspeaker
Carnival lights,The sound of a carnival barker's voice trying to lure people into their game
Carnival lights,The sound of a carousel turning and children laughing
Carnival lights,The sound of children screaming in excitement
Carnival lights,The sound of children screaming with delight
Carnival lights,The sound of children screaming with delight as they ride the roller coaster
Carnival lights,The taste of a cold drink in a plastic cup
Carnival lights,The taste of a hot dog from a carnival food stand
Carnival lights,The taste of a hot dog slathered in mustard and relish
Carnival lights,The taste of a sugary slushie
Carnival lights,The taste of sugary treats
Carousel music playing,"The sound of a carousel organ blaring ""Pop Goes the Weasel"""
Carousel music playing,"The sound of a carousel organ playing ""The Entertainer"""
Carousel music playing,A brightly lit carousel with flashing lights
Carousel music playing,A carousel horse painted in bright colors
Carousel music playing,The feel of the wind in your hair as you ride on the carousel
Carousel music playing,The feel of the wind in your hair as you ride the carousel
Carousel music playing,The feeling of the wind in your hair as you ride on the carousel
Carousel music playing,The feeling of the wind in your hair as you ride the carousel
Carousel music playing,The sight of a little girl in a pink dress holding onto the brass pole as she goes up and down
Carousel music playing,The sight of brightly colored horses and animals circling around and around
Carousel music playing,The sight of brightly colored horses and animals going round and round
Carousel music playing,The sight of brightly colored lights and animals
Carousel music playing,The sight of children laughing and riding on brightly colored horses
Carousel music playing,The sight of children riding brightly colored animals
Carousel music playing,The sight of children's faces lit up with joy as they ride the carousel
Carousel music playing,The smell of cotton candy and funnel cakes
Carousel music playing,The smell of cotton candy and popcorn
Carousel music playing,The smell of cotton candy and popcorn in the air
Carousel music playing,The sound of a carousel horse's hooves clip-clopping against the wooden floor
Carousel music playing,The sound of a carousel organ playing a jaunty tune
Carousel music playing,The sound of children laughing and screaming
Carousel music playing,The sound of children laughing and screaming as they ride the carousel
Carousel music playing,The sound of children laughing and squealing
Carousel music playing,The sound of children squealing with delight
Carousel music playing,The sound of children squealing with delight as they ride the carousel
Carousel music playing,The taste of a sugary treat
Case finally closed,"The sound of a gavel striking the bench as a judge declares the defendant ""not guilty"""
Case finally closed,A celebratory dinner with the team
Case finally closed,A courtroom full of people listening intently
Case finally closed,A detective celebrating with a whiskey neat
Case finally closed,A detective sitting down at their desk and taking a deep sigh of relief
Case finally closed,A detective taking a swig of celebratory whiskey
Case finally closed,A feeling of exhaustion from the long hours of work
Case finally closed,A feeling of relief as you finally put the case behind you
Case finally closed,A group of friends celebrating with champagne and cake
Case finally closed,A group of people hugging and congratulating each other
Case finally closed,A judge signing the paperwork officially closing the case
Case finally closed,A judge's gavel
Case finally closed,A sense of accomplishment as you realize you've helped to bring justice to a victim
Case finally closed,A sense of justice being served
Case finally closed,A sense of pride in the work that was done
Case finally closed,A sense of relief
Case finally closed,A sense of relief and accomplishment
Case finally closed,A sense of relief that the investigation is over
Case finally closed,A smile on your face
Case finally closed,A suspect being led out of the courtroom in handcuffs
Case finally closed,A victim's family finally receiving justice
Case finally closed,The feeling of a huge weight being lifted off your shoulders
Case finally closed,The feeling of a weight being lifted off your shoulders
Case finally closed,The sight of a team of people hugging and celebrating
Case finally closed,The smell of fresh-baked cookies
Case finally closed,The smell of fresh-baked cookies in the break room
Case finally closed,The smell of fresh-baked cookies in the courthouse cafeteria
Case finally closed,The smell of fresh-brewed coffee
Case finally closed,The sound of a gavel striking down on the bench
Case finally closed,The sound of a gavel striking the bench
Case finally closed,The sound of a gavel striking the bench three times to signal that the case is closed
Case finally closed,The sound of a reporter's voice narrating the proceedings
Case finally closed,The sound of champagne corks popping
Case finally closed,The sound of the gavel hitting the wood as the judge declares the case closed
Case finally closed,The taste of a delicious meal
Cat purring in lap,"The feeling of a soft, furry cat belly on your lap"
Cat purring in lap,"The sight of a contented cat, eyes closed and tail swishing"
Cat purring in lap,"The smell of a cat's fur, which is a combination of dust, cat food, and catnip"
Cat purring in lap,"The smell of a cat's fur, which is often a combination of cat food, litter, and fresh air"
Cat purring in lap,"The soft, rumbling sound of a cat's purr"
Cat purring in lap,"The sound of a deep, rumbling purr"
Cat purring in lap,"The sound of a low, rumbling purr"
Cat purring in lap,The feel of soft fur against your skin
Cat purring in lap,The feeling of a cat's soft fur against your skin
Cat purring in lap,The feeling of a cat's warm fur against your skin
Cat purring in lap,The feeling of a cat's whiskers brushing against your skin
Cat purring in lap,The sight of a cat's tail swishing back and forth
Cat purring in lap,The sight of a cat's whiskers twitching against your skin
Cat purring in lap,The sight of a cat's whiskers twitching as it purrs
Cat purring in lap,The sight of your cat's whiskers twitching as they sleep
Cat purring in lap,The smell of a cat's fur
Cat purring in lap,The smell of cat food and cat litter
Cat purring in lap,The smell of cat food and litter
Cat purring in lap,The smell of cat fur and cat food
Cat purring in lap,The sound of a cat's claws clicking against the floor as it walks away
Cat purring in lap,The sound of a cat's purr rumbling against your chest
Cat purring in lap,The sound of a cat's purr rumbling in your chest
Cat purring in lap,The sound of a cat's purr vibrating against your chest
Cat purring in lap,The sound of a cat's purring rumbling against your chest
Cat purring in lap,The taste of a cat's fur on your lips
Cat purring in lap,The warmth of a cat's body against your leg
Caught in the downpour,A puddle of water forming on your shoes
Caught in the downpour,The deafening sound of raindrops pelting against your umbrella
Caught in the downpour,The feeling of water dripping down your back
Caught in the downpour,The feeling of water dripping down your back and neck
Caught in the downpour,The feeling of water dripping down your neck and back
Caught in the downpour,The feeling of water running down your face
Caught in the downpour,The feeling of your clothes becoming saturated and heavy
Caught in the downpour,The feeling of your clothes being soaked through
Caught in the downpour,The feeling of your hair plastered to your head
Caught in the downpour,The sight of puddles forming on the sidewalk
Caught in the downpour,The sight of raindrops splashing on puddles
Caught in the downpour,The smell of wet concrete
Caught in the downpour,The smell of wet concrete and leaves
Caught in the downpour,The smell of wet dog and soggy leaves
Caught in the downpour,The sound of raindrops pelting against the pavement
Caught in the downpour,The sound of raindrops pelting against the sidewalk
Caught in the downpour,The sound of raindrops pelting against your umbrella
Caught in the downpour,The sound of raindrops pelting on the pavement
Caught in the downpour,The sound of raindrops pelting the pavement
Caught in the downpour,The sound of thunder booming in the distance
Caught in the downpour,The sound of thunder rumbling in the distance
Caught in the downpour,The taste of rainwater in your mouth
Caught in the downpour,The taste of rainwater on your lips
Caught in the downpour,Water dripping down your face and neck
Caught in the downpour,Your clothes becoming drenched and heavy
Caught in the downpour,Your clothes sticking to your body
Caught in the downpour,Your hair plastered to your head
Cawing crows at dawn,"A cold, damp breeze"
Cawing crows at dawn,"A cold, dewy morning"
Cawing crows at dawn,"The sharp, piercing sound of crows cawing in unison"
Cawing crows at dawn,"The sound of crows cawing in the distance, getting closer and closer"
Cawing crows at dawn,"The sound of crows cawing in the distance, slowly getting louder and louder as they approach"
Cawing crows at dawn,A bird's-eye view of the city as the sun slowly rises
Cawing crows at dawn,A bright blue sky
Cawing crows at dawn,A dark sky that is just starting to lighten
Cawing crows at dawn,A feeling of peace and tranquility
Cawing crows at dawn,The feeling of a chilly breeze on your skin
Cawing crows at dawn,The feeling of a cool breeze on your skin
Cawing crows at dawn,The feeling of the cold morning air on your skin
Cawing crows at dawn,The sight of a flock of crows flying overhead
Cawing crows at dawn,The sight of a single crow flying across the sky
Cawing crows at dawn,The sight of crows flying overhead in a menacing V-formation
Cawing crows at dawn,The sight of the sun peeking over the horizon
Cawing crows at dawn,The sight of the sun rising over the horizon
Cawing crows at dawn,The smell of damp earth
Cawing crows at dawn,The smell of dew on the grass
Cawing crows at dawn,The smell of fresh dew on the grass
Cawing crows at dawn,The sound of a dog barking at the crows
Cawing crows at dawn,The sound of birds chirping
Cawing crows at dawn,The sound of crows cawing at dawn
Cawing crows at dawn,The sound of crows cawing at dawn in a discordant symphony
Cawing crows at dawn,The sound of crows cawing in a tree outside your window
Cawing crows at dawn,The sound of crows cawing in the distance
Cawing crows at dawn,The sound of crows cawing raucously as the sun rises over a field
Cawing crows at dawn,The taste of a warm cup of coffee
Cawing crows at dawn,The taste of coffee on your breath
Cheers erupt from crowd,A deafening roar that shakes the ground
Cheers erupt from crowd,A sea of waving hands and cheering faces
Cheers erupt from crowd,The deafening roar of the crowd
Cheers erupt from crowd,The feeling of adrenaline coursing through your veins
Cheers erupt from crowd,The feeling of being surrounded by people
Cheers erupt from crowd,The sight of people jumping up and down in excitement
Cheers erupt from crowd,The sight of people waving flags and holding signs
Cheers erupt from crowd,The sight of people waving flags and wearing team colors
Cheers erupt from crowd,The sight of thousands of people jumping up and down in excitement
Cheers erupt from crowd,The smell of beer and sweat
Cheers erupt from crowd,The smell of hot dogs and beer
Cheers erupt from crowd,The smell of hot dogs and popcorn
Cheers erupt from crowd,The smell of popcorn and hot dogs wafting through the air
Cheers erupt from crowd,The smell of sweat and beer
Cheers erupt from crowd,The sound of a thousand voices raised in unison
Cheers erupt from crowd,The sound of a thousand voices shouting in unison
Cheers erupt from crowd,The sound of vuvuzelas blaring
Cheers erupt from crowd,The taste of a cold beer on a hot day
Cheers erupt from crowd,The taste of beer and cotton candy
Cheers erupt from crowd,The taste of victory
Cheers erupt from crowd,a deafening roar that makes your ears ring
Cheers erupt from crowd,the feeling of being jostled by the crowd
Cheers erupt from crowd,the roar of the crowd like a wave crashing over you
Cheers erupt from crowd,the sight of people jumping up and down and waving their arms
Cheers erupt from crowd,the sight of people jumping up and down in excitement
Cheers erupt from crowd,the smell of hot dogs and beer
Cheers erupt from crowd,the smell of sweat and beer
Cheers erupt from crowd,the sound of drums beating in time with the cheers
Childhood stuffed animal,"The feel of soft, threadbare fur"
Childhood stuffed animal,"The feeling of soft, worn fur"
Childhood stuffed animal,"The sight of your childhood bedroom, with the stuffed animal sitting on the bed"
Childhood stuffed animal,"The soft, comforting feeling of it against your cheek"
Childhood stuffed animal,"The soft, worn fabric"
Childhood stuffed animal,A comforting weight when you hold it
Childhood stuffed animal,A faint memory of a long-lost loved one
Childhood stuffed animal,A faint musty smell
Childhood stuffed animal,A faint outline of the child's face on the pillow where the animal has been resting
Childhood stuffed animal,A few missing buttons
Childhood stuffed animal,A frayed seam
Childhood stuffed animal,A missing eye
Childhood stuffed animal,A musty smell
Childhood stuffed animal,A musty smell that reminds you of your childhood bedroom
Childhood stuffed animal,A slightly scratchy texture
Childhood stuffed animal,A tear in the fabric that you've never been able to fix
Childhood stuffed animal,A tear in the fabric that you've sewn back together multiple times
Childhood stuffed animal,A worn-out patch where the animal's fur has been rubbed off
Childhood stuffed animal,Soft fur that you can't resist petting
Childhood stuffed animal,The faint smell of mothballs
Childhood stuffed animal,The feel of soft fur
Childhood stuffed animal,The feel of the soft fur against your cheek
Childhood stuffed animal,The memory of the smell of your childhood bedroom when you hold it
Childhood stuffed animal,The musty smell of old fabric
Childhood stuffed animal,The sound of a child's laughter as they play with it
Childhood stuffed animal,The sound of a child's laughter as they play with the stuffed animal
Childhood stuffed animal,The sound of a child's laughter as they play with their stuffed animal
Childhood stuffed animal,The sound of a child's laughter when they play with it
Childhood stuffed animal,The sound of it crinkling when you squeeze it
Childhood stuffed animal,The sound of the stuffing shifting when you squeeze it
Childhood stuffed animal,The taste of a child's tears when they drop their stuffed animal
Children playing tag,"The sight of children running around in a field, laughing and chasing each other"
Children playing tag,"The sight of children running around in a field, their faces flushed with excitement"
Children playing tag,"The sight of children running around, dodging each other"
Children playing tag,"The sight of children running around, trying to tag each other"
Children playing tag,The feel of the sun on your skin
Children playing tag,The feeling of the sun on your skin
Children playing tag,The feeling of the sun on your skin and the wind in your hair
Children playing tag,The sight of children running and jumping
Children playing tag,The sight of children running around a playground
Children playing tag,The sight of children running around with abandon
Children playing tag,The sight of children's laughter filling the air
Children playing tag,The smell of freshly cut grass
Children playing tag,The smell of sweat and dirt
Children playing tag,The sound of children laughing and squealing
Children playing tag,The sound of children squealing with delight
Children playing tag,The sound of children squealing with delight as they run around
Children playing tag,The sound of children squealing with laughter
Children playing tag,The sound of children's laughter
Children playing tag,The sound of children's laughter echoing through the park
Children playing tag,The sound of feet pounding on the pavement
Children playing tag,The taste of a Popsicle melting on your tongue
Children playing tag,The taste of a Popsicle on a hot day
Children's laughter,"The feel of a child's warm, sticky hand in yours"
Children's laughter,"The sight of children running around, chasing each other and laughing"
Children's laughter,"The sight of children running around, playing tag and having fun"
Children's laughter,"The sound of children running around a playground, squealing with delight"
Children's laughter,The feel of a child's sticky hand grabbing onto yours
Children's laughter,The feel of the sun on your skin and the wind in your hair
Children's laughter,The feel of the sun on your skin as you watch the children play
Children's laughter,The feeling of a child's sticky hand grabbing onto yours
Children's laughter,The feeling of a child's sticky hand holding yours
Children's laughter,The sight of children playing in a sprinkler on a hot summer day
Children's laughter,The sight of children playing tag in the park
Children's laughter,The sight of children running around and playing tag
Children's laughter,The sight of children running around and playing without a care in the world
Children's laughter,The smell of cotton candy and french fries wafting through the air
Children's laughter,The smell of fresh-baked cookies in the oven
Children's laughter,The smell of freshly baked cookies in the oven
Children's laughter,The smell of freshly-baked cookies wafting from a classroom
Children's laughter,The smell of freshly-baked cookies wafting through the air
Children's laughter,The smell of sunscreen and sweat
Children's laughter,The sound of children laughing as they play hide-and-seek
Children's laughter,The sound of children laughing on a playground
Children's laughter,The sound of children playing tag in the park
Children's laughter,The sound of children running through the sprinklers on a hot summer day
Children's laughter,The sound of children singing in a choir
Children's laughter,The sound of children singing songs as they play
Children's laughter,The sound of children squealing in delight as they open their Christmas presents
Children's laughter,The sound of children's laughter bouncing off the ceiling of a bouncy castle
Children's laughter,The sound of children's laughter bouncing off the walls of a playground
Children's laughter,The sound of children's laughter echoing off the walls of a playground
Children's laughter,The sound of children's laughter echoing through a playground
Children's laughter,The sound of children's laughter echoing through the playground
Children's laughter,The sound of children's laughter filling a swimming pool
Children's laughter,The sound of children's laughter floating through an open window on a summer day
Children's laughter,The taste of a child's chocolate-covered kiss
Children's laughter,The taste of a chocolate chip cookie still warm from the oven
Children's laughter,The taste of a freshly-popped bag of popcorn
Chilly morning air,A car's windshield covered in frost
Chilly morning air,A chill that makes you shiver even when you're wearing a coat
Chilly morning air,A light frost on the ground
Chilly morning air,A warm cup of coffee
Chilly morning air,A warm cup of coffee in your hands
Chilly morning air,The feeling of a thick sweater on your skin
Chilly morning air,The feeling of a warm cup of coffee in your hands
Chilly morning air,The feeling of a warm mug of tea in your hands
Chilly morning air,The feeling of frost on your windshield
Chilly morning air,The feeling of your breath forming a cloud in front of your face
Chilly morning air,The feeling of your breath turning to steam
Chilly morning air,The sight of frost on the grass
Chilly morning air,The sight of frost on the ground
Chilly morning air,The sight of your breath condensing in the air
Chilly morning air,The smell of coffee brewing and bacon cooking
Chilly morning air,The smell of coffee brewing in the distance
Chilly morning air,The smell of coffee brewing in the kitchen
Chilly morning air,The smell of dew on the grass
Chilly morning air,The smell of freshly brewed coffee
Chilly morning air,The smell of freshly-baked bread wafting through the air
Chilly morning air,The smell of smoke from someone's morning campfire
Chilly morning air,The sound of a car driving by on a snowy road
Chilly morning air,The sound of a car driving by with the windows down
Chilly morning air,The sound of a dog barking at a distant squirrel
Chilly morning air,The sound of a dog barking at a squirrel
Chilly morning air,The sound of a dog barking in the distance
Chilly morning air,The sound of birds chirping
Chilly morning air,The sound of birds chirping happily
Chilly morning air,The sound of birds chirping in the trees
Chilly morning air,The sun glinting off of the frost on the ground
Chilly morning air,The taste of a fresh donut
Chilly morning air,The taste of a warm croissant
Chilly morning air,Your breath visible in the air
Circus tent,"A sign that says ""No animals were harmed in the making of this show"""
Circus tent,A clown juggling bowling pins
Circus tent,A clown juggling brightly colored balls
Circus tent,A clown with a big red nose
Circus tent,A giant tent with a big top
Circus tent,A high wire artist balancing precariously hundreds of feet in the air
Circus tent,A lion tamer cracking his whip
Circus tent,A man selling tickets to the show
Circus tent,A trapeze artist flying through the air
Circus tent,A trapeze artist soaring through the air
Circus tent,A trapeze artist swinging high above the crowd
Circus tent,The feel of the sawdust on the ground
Circus tent,The feel of the sawdust on the ground beneath your feet
Circus tent,The feeling of being excited and amazed
Circus tent,The sight of a clown juggling pins
Circus tent,The sight of a tightrope walker balancing precariously high above the crowd
Circus tent,The sight of a trapeze artist flying through the air
Circus tent,The sight of a trapeze artist swinging high above the crowd
Circus tent,The smell of cotton candy and popcorn
Circus tent,The smell of popcorn and cotton candy
Circus tent,The sound of a crowd cheering as the trapeze artist flies through the air
Circus tent,The sound of a lion roaring
Circus tent,The sound of elephants trumpeting and lions roaring
Circus tent,The taste of a churro
Circus tent,The taste of a freshly-popped piece of popcorn
Circus tent,The taste of a funnel cake
City lights in distance,A cold breeze blowing in your face
City lights in distance,A cold breeze that whips your hair around your face
City lights in distance,A cool breeze that whips through your hair
City lights in distance,A cool breeze that whips your hair around
City lights in distance,A feeling of excitement and anticipation
City lights in distance,The feeling of a cool breeze blowing through your hair
City lights in distance,The feeling of a warm breeze on your skin
City lights in distance,The feeling of anticipation as you get closer to the city
City lights in distance,The feeling of being small and insignificant compared to the vastness of the city
City lights in distance,The feeling of cold air on your skin
City lights in distance,The feeling of cool air on your skin
City lights in distance,The feeling of sand between your toes
City lights in distance,The sight of the twinkling lights of the city below
City lights in distance,The sight of twinkling lights on the horizon
City lights in distance,The smell of campfire smoke
City lights in distance,The smell of car exhaust and food cooking
City lights in distance,The smell of car exhaust and hot asphalt
City lights in distance,The smell of exhaust fumes
City lights in distance,The smell of fresh-baked bread wafting from a bakery
City lights in distance,The smell of fresh-cut grass from a nearby park
City lights in distance,The smell of smog and car exhaust
City lights in distance,The soft glow of the city lights against the dark sky
City lights in distance,The sound of cars driving by on the highway
City lights in distance,The sound of cars zooming by on the highway
City lights in distance,The sound of cars zooming by on the highway below
City lights in distance,The sound of crickets chirping in the distance
City lights in distance,The sound of crickets chirping in the field
City lights in distance,The sound of distant traffic and laughter
City lights in distance,The sound of distant traffic and sirens
City lights in distance,The sound of traffic and people talking in the distance
City lights in distance,The sound of waves crashing on the shore
City lights in distance,The taste of a hot chocolate with marshmallows
City lights in distance,The twinkling of Christmas lights in the distance
City lights in distance,The twinkling of a million little stars
City lights in distance,The twinkling of city lights against a backdrop of dark blue sky
City lights in distance,The twinkling of lights against the dark night sky
City lights in distance,The twinkling of lights like fireflies in the night sky
City lights,"A group of teenagers walking down the street, laughing and talking"
City lights,"A homeless person sleeping on a bench, illuminated by the city lights"
City lights,"The sight of people walking quickly down the sidewalk, their faces illuminated by the city lights"
City lights,A bright billboard advertising a new movie
City lights,A neon sign advertising a bar that's open all night
City lights,The bright lights of a casino
City lights,The bright lights of a skyscraper reflecting off of the river
City lights,The feeling of excitement as you walk down a busy city street at night
City lights,The feeling of the cold air on your skin
City lights,The feeling of the wind in your hair as you walk through the city
City lights,The feeling of the wind whipping through your hair
City lights,The glittering lights of a skyscraper reflecting off of a river
City lights,The glowing lights of a city skyline
City lights,The headlights of a car driving by
City lights,The neon lights of a strip club
City lights,The reflection of city lights on a puddle
